country,country_url,cardURL
India,https://openaq.org/#/locations?parameters=pm25&countries=IN&_k=4wc5i2,https://openaq.org/#/location/GIDC%2C%20Ankleshwar%20-%20GPCB
India,https://openaq.org/#/locations?parameters=pm25&countries=IN&_k=4wc5i2,https://openaq.org/#/location/Asansol%20Court%20Area%2C%20Asansol%20-%20WBPCB
India,https://openaq.org/#/locations?parameters=pm25&countries=IN&_k=4wc5i2,https://openaq.org/#/location/More%20Chowk%20Waluj%2C%20Aurangabad%20-%20MPCB
India,https://openaq.org/#/locations?parameters=pm25&countries=IN&_k=4wc5i2,https://openaq.org/#/location/Vidayagiri%2C%20Bagalkot%20-%20KSPCB
India,https://openaq.org/#/locations?parameters=pm25&countries=IN&_k=4wc5i2,https://openaq.org/#/location/New%20Collectorate%2C%20Baghpat%20-%20UPPCB
India,https://openaq.org/#/locations?parameters=pm25&countries=IN&_k=4wc5i2,https://openaq.org/#/location/Arya%20Nagar%2C%20Bahadurgarh%20-%20HSPCB
India,https://openaq.org/#/locations?parameters=pm25&countries=IN&_k=4wc5i2,https://openaq.org/#/location/Nathu%20Colony%2C%20Ballabgarh%20-%20HSPCB
Indonesia,https://openaq.org/#/locations?parameters=pm25&countries=ID&_k=c353nr,https://openaq.org/#/location/SPARTAN%20-%20ITB%20Bandung
Indonesia,https://openaq.org/#/locations?parameters=pm25&countries=ID&_k=c353nr,https://openaq.org/#/location/US%20Diplomatic%20Post%3A%20Jakarta%20Central
Indonesia,https://openaq.org/#/locations?parameters=pm25&countries=ID&_k=c353nr,https://openaq.org/#/location/US%20Diplomatic%20Post%3A%20Jakarta%20South
Iraq,https://openaq.org/#/locations?parameters=pm25&countries=IQ&_k=06ugfr,https://openaq.org/#/location/US%20Diplomatic%20Post%3A%20Baghdad
Ireland,https://openaq.org/#/locations?parameters=pm25&countries=IE&_k=zcqgu6,https://openaq.org/#/location/IE0110A
Ireland,https://openaq.org/#/locations?parameters=pm25&countries=IE&_k=zcqgu6,https://openaq.org/#/location/IE0028A
Ireland,https://openaq.org/#/locations?parameters=pm25&countries=IE&_k=zcqgu6,https://openaq.org/#/location/IE003AP
Ireland,https://openaq.org/#/locations?parameters=pm25&countries=IE&_k=zcqgu6,https://openaq.org/#/location/IE0137A
Ireland,https://openaq.org/#/locations?parameters=pm25&countries=IE&_k=zcqgu6,https://openaq.org/#/location/IE0142A
Israel,https://openaq.org/#/locations?parameters=pm25&countries=IL&_k=ttji8r,https://openaq.org/#/location/SPARTAN%20-%20Weizmann%20Institute
Italy,https://openaq.org/#/locations?parameters=pm25&countries=IT&_k=iyrlwd,https://openaq.org/#/location/BALLIRANA
Italy,https://openaq.org/#/locations?parameters=pm25&countries=IT&_k=iyrlwd,https://openaq.org/#/location/IT0459A
Italy,https://openaq.org/#/locations?parameters=pm25&countries=IT&_k=iyrlwd,https://openaq.org/#/location/IT0461A
Italy,https://openaq.org/#/locations?parameters=pm25&countries=IT&_k=iyrlwd,https://openaq.org/#/location/IT1773A
Italy,https://openaq.org/#/locations?parameters=pm25&countries=IT&_k=iyrlwd,https://openaq.org/#/location/IT1827A
Italy,https://openaq.org/#/locations?parameters=pm25&countries=IT&_k=iyrlwd,https://openaq.org/#/location/IT2144A
Italy,https://openaq.org/#/locations?parameters=pm25&countries=IT&_k=iyrlwd,https://openaq.org/#/location/IT0934A
Italy,https://openaq.org/#/locations?parameters=pm25&countries=IT&_k=iyrlwd,https://openaq.org/#/location/BESENZONE
Italy,https://openaq.org/#/locations?parameters=pm25&countries=IT&_k=iyrlwd,https://openaq.org/#/location/GIARDINI%20MARGHERITA
Italy,https://openaq.org/#/locations?parameters=pm25&countries=IT&_k=iyrlwd,https://openaq.org/#/location/PORTA%20SAN%20FELICE
Italy,https://openaq.org/#/locations?parameters=pm25&countries=IT&_k=iyrlwd,https://openaq.org/#/location/IT0499A
Italy,https://openaq.org/#/locations?parameters=pm25&countries=IT&_k=iyrlwd,https://openaq.org/#/location/IT1696A
Italy,https://openaq.org/#/locations?parameters=pm25&countries=IT&_k=iyrlwd,https://openaq.org/#/location/IT2148A
Italy,https://openaq.org/#/locations?parameters=pm25&countries=IT&_k=iyrlwd,https://openaq.org/#/location/IT2151A
Italy,https://openaq.org/#/locations?parameters=pm25&countries=IT&_k=iyrlwd,https://openaq.org/#/location/IT1947A
Jordan,https://openaq.org/#/locations?parameters=pm25&countries=JO&_k=tzdvux,https://openaq.org/#/location/US%20Diplomatic%20Post%3A%20Amman
Jordan,https://openaq.org/#/locations?parameters=pm25&countries=JO&_k=tzdvux,https://openaq.org/#/location/Amman
Kazakhstan,https://openaq.org/#/locations?parameters=pm25&countries=KZ&_k=n1m6xg,https://openaq.org/#/location/US%20Diplomatic%20Post%3A%20Astana
Kazakhstan,https://openaq.org/#/locations?parameters=pm25&countries=KZ&_k=n1m6xg,https://openaq.org/#/location/Almaty
Kenya,https://openaq.org/#/locations?parameters=pm25&countries=KE&_k=lpp8kd,https://openaq.org/#/location/Alliance%20Girls%20High
Kenya,https://openaq.org/#/locations?parameters=pm25&countries=KE&_k=lpp8kd,https://openaq.org/#/location/Nairobi%20CBD
