country,card_url,general,country_link,city,PM2.5,date,hour
Ethiopia,https://openaq.org/#/location/US%20Diplomatic%20Post%3A%20Addis%20Ababa%20Central,ENV-HOSP - Envigado - E.S.E. Santa Gertrudis,Colombia,"Envigado,",,,
Ethiopia,https://openaq.org/#/location/US%20Diplomatic%20Post%3A%20Addis%20Ababa%20School,ITA-CONC - Itagüí - I.E. Concejo Municipal de Itagüí,Colombia,"Itagüí,",,,
Finland,https://openaq.org/#/location/FI00893,CEN-TRAF - Estación Tráfico Centro,Colombia,"Medellin,",,,
Finland,https://openaq.org/#/location/FI00446,US Diplomatic Post: San Jose,"Jose,",San,,,
Finland,https://openaq.org/#/location/FI00363,HR0013A,Croatia,"Licko-senjska,",,,
Finland,https://openaq.org/#/location/FI00586,CZ0CCBD,Czech,"Jihočeský,",,,
Finland,https://openaq.org/#/location/FI00889,CZ0BBNV,Czech,"Jihomoravský,",,,
Finland,https://openaq.org/#/location/FI00801,EE0019A,Estonia,"Ida-Virumaa,",,,
Finland,https://openaq.org/#/location/FI00838,EE0016A,Estonia,"Jõgevamaa,",,,
Finland,https://openaq.org/#/location/FI00280,EE0009R,Estonia,"Lääne-Virumaa,",,,
Finland,https://openaq.org/#/location/FI00606,,,,,,
Finland,https://openaq.org/#/location/FI00349,US Diplomatic Post: Addis Ababa Central,"Ababa,",Addis,,,
Finland,https://openaq.org/#/location/FI00208,,,,,,
Finland,https://openaq.org/#/location/FI00370,FI00363,"Savonia,",Northern,,,
Finland,https://openaq.org/#/location/FI00425,,,,,,
Finland,https://openaq.org/#/location/FI00564,FI00801,Finland,"Pirkanmaa,",,,
France,https://openaq.org/#/location/FR33305,,,,,,
France,https://openaq.org/#/location/Evreux%20%20Boulevard%20de%20Normandie,FI00838,Finland,"Pirkanmaa,",,,
France,https://openaq.org/#/location/Maison%20Parc%20Brotonne,,,,,,
France,https://openaq.org/#/location/Rouen%20Le%20Conquerant,,,,,,
France,https://openaq.org/#/location/Valence%20Trafic,FI00606,"Karelia,",South,,,
France,https://openaq.org/#/location/FR18042,FI00208,Finland,"Uusimaa,",,,
France,https://openaq.org/#/location/FR18080,FI00370,Finland,"Uusimaa,",,,
France,https://openaq.org/#/location/FR07022,FR33305,France,"Ain,",,,
France,https://openaq.org/#/location/FR24018,Maison Parc Brotonne,"NORMAND,",AIR,,,
France,https://openaq.org/#/location/FR24039,FR18042,France,"Aisne,",,,
France,https://openaq.org/#/location/FR24035,FR24018,France,"Alpes-de-Haute-Provence,",,,
France,https://openaq.org/#/location/FR24036,,,,,,
Germany,https://openaq.org/#/location/DEBY001,FR24036,France,"Alpes-Maritimes,",,,
Germany,https://openaq.org/#/location/DEBY002,,,,,,
Germany,https://openaq.org/#/location/DEBY004,,,,,,
Germany,https://openaq.org/#/location/DEBY005,,,,,,
Germany,https://openaq.org/#/location/DEBY007,DEBY004,Germany,"Bayern,",,,
Germany,https://openaq.org/#/location/DEBY009,,,,,,
Germany,https://openaq.org/#/location/DEBY012,,,,,,
Germany,https://openaq.org/#/location/DEBY013,DEBY012,Germany,"Bayern,",,,
Germany,https://openaq.org/#/location/DEBY014,,,,,,
Germany,https://openaq.org/#/location/DEBY021,,,,,,
Germany,https://openaq.org/#/location/DEBY028,,,,,,
Germany,https://openaq.org/#/location/DEBY031,DEBY031,Germany,"Bayern,",,,
Germany,https://openaq.org/#/location/DEBY035,DEBY035,Germany,"Bayern,",,,
Germany,https://openaq.org/#/location/DEBY037,DEBY037,Germany,"Bayern,",,,
Germany,https://openaq.org/#/location/DEBY039,DEBY039,Germany,"Bayern,",,,
Ghana,https://openaq.org/#/location/ADA%20-%20Asylum%20Down,ADA - Asylum Down,Ghana,"Accra,",,,
Ghana,https://openaq.org/#/location/ADEPA%20-%20Asylum%20Down,ADEPA - Asylum Down,Ghana,"Accra,",,,
Ghana,https://openaq.org/#/location/ADT%20-%20Asylum%20Down,ADT - Asylum Down,Ghana,"Accra,",,,
Ghana,https://openaq.org/#/location/ELA%20-%20East%20Legon,ELA - East Legon,Ghana,"Accra,",,,
Ghana,https://openaq.org/#/location/ELC%20-%20East%20Legon,,,,,,
Ghana,https://openaq.org/#/location/ELT%20-%20East%20Legon,,,,,,
Ghana,https://openaq.org/#/location/JTA%20-%20Jamestown,,,,,,
Ghana,https://openaq.org/#/location/JTC%20-%20Jamestown,,,,,,
Ghana,https://openaq.org/#/location/JTT%20-%20Jamestown,,,,,,
Ghana,https://openaq.org/#/location/NMA%20-%20Nima,,,,,,
Ghana,https://openaq.org/#/location/NMT%20-%20Nima,,,,,,
Ghana,https://openaq.org/#/location/US%20Diplomatic%20Post%3A%20Accra,,,,,,
Greece,https://openaq.org/#/location/GR0003A,,,,,,
Greece,https://openaq.org/#/location/GR0030A,,,,,,
Greece,https://openaq.org/#/location/GR0035A,NMT - Nima,Ghana,"Accra,",,,
Greece,https://openaq.org/#/location/GR0037A,GR0035A,Greece,"ΑΤΤΙΚΗ,",,,
Greece,https://openaq.org/#/location/GR0038A,GR0038A,Greece,"ΑΤΤΙΚΗ,",,,
Greece,https://openaq.org/#/location/GR0039A,,,,,,
Greece,https://openaq.org/#/location/GR0048A,GR0048A,"ΕΛΛΑΔΑ,",ΔΥΤΙΚΗ,,,
Greece,https://openaq.org/#/location/GR0001A,GR0001A,Greece,"ΘΕΣΣΑΛΙΑ,",,,
Greece,https://openaq.org/#/location/GR0018A,,,,,,
Greece,https://openaq.org/#/location/GR0047A,GR0047A,"ΜΑΚΕΔΟΝΙΑ,",ΚΕΝΤΡΙΚΗ,,,
Greece,https://openaq.org/#/location/GR0110R,GR0110R,"ΕΛΛΑΔΑ,",ΣΤΕΡΕΑ,,,
Guatemala,https://openaq.org/#/location/US%20Diplomatic%20Post%3A%20Guatemala%20City,US Diplomatic Post: Guatemala City,"City,",Guatemala,,,
Guatemala,https://openaq.org/#/location/Guatemala%20City,US Diplomatic Post: Guatemala City,"City,",Guatemala,,,
Guinea,https://openaq.org/#/location/US%20Diplomatic%20Post%3A%20Conakry,US Diplomatic Post: Conakry,Guinea,"Conakry,",,,
Hong Kong,https://openaq.org/#/location/Causeway%20Bay,Causeway Bay,"Bay,",Causeway,,,
Hong Kong,https://openaq.org/#/location/Central,Calgary Central2,Canada,"ALBERTA,",,,
Hong Kong,https://openaq.org/#/location/Central%2FWestern,,,,,,
Hong Kong,https://openaq.org/#/location/Eastern,Eastern,Hong,"Eastern,",6.0,2020/07/10,06:30
Hong Kong,https://openaq.org/#/location/Kwun%20Tong,Kwun Tong,Hong,"Kowloon,",,,
Hong Kong,https://openaq.org/#/location/Mong%20Kok,Mong Kok,Hong,"Kowloon,",,,
Hong Kong,https://openaq.org/#/location/Sham%20Shui%20Po,Sham Shui Po,Hong,"Kowloon,",,,
Hong Kong,https://openaq.org/#/location/Kwai%20Chung,Kwai Chung,"Territories,",New,,,
Hong Kong,https://openaq.org/#/location/Sha%20Tin,,,,,,
Hong Kong,https://openaq.org/#/location/Tai%20Po,Tai Po,"Territories,",New,,,
Hong Kong,https://openaq.org/#/location/Tsuen%20Wan,Tsuen Wan,"Territories,",New,,,
Hong Kong,https://openaq.org/#/location/Tung%20Chung,Tung Chung,"Territories,",New,,,
Hong Kong,https://openaq.org/#/location/Yuen%20Long,Yuen Long,"Territories,",New,,,
Hong Kong,https://openaq.org/#/location/Tuen%20Mun,Tuen Mun,Hong,"N.T.,",,,
Hong Kong,https://openaq.org/#/location/Tseung%20Kwan%20O,Tseung Kwan O,"Kung,",Sai,,,
Hungary,https://openaq.org/#/location/HU0029A,HU0029A,Hungary,"Baranya,",,,
Hungary,https://openaq.org/#/location/HU0026A,HU0026A,Hungary,"Borsod-Abaúj-Zemplén,",,,
Hungary,https://openaq.org/#/location/HU0022A,,,,,,
Hungary,https://openaq.org/#/location/HU0057A,HU0022A,Hungary,"Budapest,",,,
Hungary,https://openaq.org/#/location/HU0033A,HU0033A,Hungary,"Fejér,",,,
Hungary,https://openaq.org/#/location/HU0024A,HU0024A,Hungary,"Gyor-Moson-Sopron,",,,
Hungary,https://openaq.org/#/location/HU0025A,HU0025A,Hungary,"Gyor-Moson-Sopron,",,,
Hungary,https://openaq.org/#/location/HU0039A,,,,,,
Hungary,https://openaq.org/#/location/HU0034A,HU0034A,Hungary,"Veszprém,",,,
Iceland,https://openaq.org/#/location/Grundartangi%20Gr%C3%B6f,Grundartangi Gröf,Iceland,"Grundartangi,",,,
Iceland,https://openaq.org/#/location/Grundartangi%20Kr%C3%ADuvar%C3%B0a,Grundartangi Kríuvarða,Iceland,"Grundartangi,",,,
Iceland,https://openaq.org/#/location/Hafnarfj%C3%B6r%C3%B0ur%20Hvaleyrarholt,Hafnarfjörður Hvaleyrarholt,Iceland,"Hafnarfjörður,",,,
Iceland,https://openaq.org/#/location/Hafnarfj%C3%B6r%C3%B0ur%20Nor%C3%B0urhella,Hafnarfjörður Norðurhella,Iceland,"Hafnarfjörður,",,,
Iceland,https://openaq.org/#/location/PCC%20nor%C3%B0ur,Sha Tin,"Territories,",New,,,
Iceland,https://openaq.org/#/location/PCC%20su%C3%B0ur,PCC suður,Iceland,"Húsavík,",,,
Iceland,https://openaq.org/#/location/K%C3%B3pavogur%20Dalsm%C3%A1ri,Kópavogur Dalsmári,Iceland,"Kópavogur,",,,
Iceland,https://openaq.org/#/location/Reykjavik%20Grensas,Reykjavik Grensas,Iceland,"Reykjavík,",,,
Iceland,https://openaq.org/#/location/Reykjavik%20Husdyragardurinn,Reykjavik Husdyragardurinn,Iceland,"Reykjavík,",,,
India,https://openaq.org/#/location/Sanjay%20Palace%2C%20Agra%20-%20UPPCB,"Sanjay Palace, Agra - UPPCB",India,"Agra,",,,
India,https://openaq.org/#/location/Maninagar%2C%20Ahmedabad%20-%20GPCB,"Maninagar, Ahmedabad - GPCB",India,"Ahmedabad,",,,
India,https://openaq.org/#/location/Sikulpuikawn%2C%20Aizawl%20-%20Mizoram%20PCB,"Sikulpuikawn, Aizawl - Mizoram PCB",India,"Aizawl,",,,
India,https://openaq.org/#/location/Civil%20Lines%2C%20%20Ajmer%20-%20RSPCB,"Civil Lines, Ajmer - RSPCB",India,"Ajmer,",,,
India,https://openaq.org/#/location/Moti%20Doongri%2C%20Alwar%20-%20RSPCB,"Moti Doongri, Alwar - RSPCB",India,"Alwar,",,,
India,https://openaq.org/#/location/Secretariat%2C%20Amaravati%20-%20APPCB,"Secretariat, Amaravati - APPCB",India,"Amaravati,",,,
India,https://openaq.org/#/location/Patti%20Mehar%2C%20Ambala%20-%20HSPCB,"Patti Mehar, Ambala - HSPCB",",",Ambala,,,
India,https://openaq.org/#/location/Golden%20Temple%2C%20Amritsar%20-%20PPCB,"Golden Temple, Amritsar - PPCB",India,"Amritsar,",,,
India,https://openaq.org/#/location/GIDC%2C%20Ankleshwar%20-%20GPCB,"GIDC, Ankleshwar - GPCB",India,"Ankleshwar,",36.75,2019/07/11,16:30
